0	10000	10000	332	10000	1223	10000	888	10000	-883	10000	10000	10000	-964	10000	10000	-923	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	519	10000	-389	10000	10000	10000	10000	
10000	0	10000	10000	1344	1947	10000	512	10000	-376	10000	10000	10000	-337	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10	10000	10000	10000	10000	
10000	10000	0	454	10000	10000	1966	2587	10000	10000	457	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	401	-36	10000	10000	10000	
1581	10000	810	0	1059	10000	1139	10000	-647	10000	10000	10000	10000	10000	1390	10000	10000	-747	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1733	-569	10000	10000	10000	10000	
10000	477	10000	-133	0	10000	1221	10000	10000	10000	974	10000	-1092	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	974	-500	-171	10000	10000	10000	
1380	582	10000	10000	10000	0	607	602	10000	258	10000	10000	10000	-1169	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-1330	10000	10000	1358	360	
10000	10000	181	275	901	1083	0	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-1000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-90	10000	10000	10000	10000	
1814	1676	-535	10000	10000	726	10000	0	10000	-252	10000	10000	10000	-337	10000	10000	-952	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-608	10000	10000	995	10000	
10000	10000	10000	1355	10000	10000	10000	10000	0	1002	10000	10000	1664	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2896	1107	10000	851	10000	10000	
1745	2741	10000	10000	10000	2997	10000	3317	1947	0	10000	10000	10000	879	10000	1417	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1682	10000	10000	2984	10000	
