0	761	10000	10000	10000	10000	1574	10000	10000	10000	10000	10000	10000	10000	10000	1005	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1852	402	10000	1848	10000	10000	-326	10000	1093	10000	1474	406	10000	10000	10000	10000	10000	10000	1962	10000	10000	10000	1229	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2515	10000	10000	10000	10000	1286	10000	10000	10000	10000	10000	185	10000	10000	10000	10000	10000	10000	140	10000	815	10000	10000	10000	1303	10000	
756	0	10000	-225	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-380	10000	10000	10000	10000	10000	10000	10000	-281	10000	10000	-292	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2206	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	501	10000	10000	10000	1524	618	10000	10000	10000	10000	10000	10000	-657	10000	10000	10000	10000	1025	10000	74	-590	2014	10000	10000	
10000	10000	0	-1059	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-179	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-368	1074	10000	10000	10000	10000	10000	10000	10000	10000	993	10000	10000	10000	366	10000	10000	10000	355	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	889	10000	10000	10000	10000	545	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	777	10000	429	10000	10000	10000	10000	10000	
10000	1066	2045	0	1934	10000	10000	10000	10000	10000	2899	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2539	2402	10000	1029	1538	10000	10000	10000	1486	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	964	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	3469	899	10000	10000	10000	10000	10000	10000	1830	10000	10000	10000	10000	1221	10000	1251	745	10000	10000	10000	
10000	10000	10000	1557	0	10000	1441	10000	10000	10000	1506	10000	10000	10000	10000	10000	1742	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1434	10000	10000	746	1876	10000	10000	10000	1648	10000	10000	10000	2972	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	837	10000	10000	1242	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	618	10000	10000	10000	1963	10000	10000	
10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	1379	10000	10000	10000	10000	10000	10000	10000	10000	10000	2175	10000	-525	10000	10000	10000	10000	10000	10000	693	10000	299	10000	10000	774	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-845	10000	10000	10000	-1422	10000	10000	10000	10000	380	1817	10000	10000	10000	10000	1711	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-273	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
-241	10000	10000	10000	-466	10000	0	10000	10000	1571	10000	10000	10000	10000	10000	524	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	726	642	10000	1047	10000	10000	10000	10000	10000	10000	10000	1322	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-508	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1171	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	326	1229	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	687	
10000	10000	10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	2979	10000	10000	10000	10000	2848	10000	3070	10000	861	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2050	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	906	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	2092	10000	10000	2816	3076	10000	10000	10000	10000	10000	10000	10000	10000	2445	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
10000	10000	10000	10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	451	10000	10000	969	10000	10000	10000	10000	10000	-714	1859	10000	10000	10000	10000	10000	1442	10000	1540	10000	10000	1129	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1188	10000	10000	10000	10000	2368	10000	10000	10000	10000	10000	10000	10000	10000	10000	2122	10000	10000	10000	10000	10000	669	10000	10000	10000	10000	10000	1285	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
10000	10000	10000	10000	10000	10000	409	10000	10000	0	1236	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	606	10000	204	10000	10000	10000	10000	449	10000	10000	726	10000	10000	-823	10000	10000	10000	1257	10000	10000	10000	10000	1378	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1246	10000	10000	10000	10000	10000	15	-300	10000	10000	10000	10000	10000	-497	10000	10000	10000	10000	10000	10000	10000	
10000	10000	10000	681	227	10000	10000	10000	10000	2105	0	10000	10000	10000	10000	10000	1502	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	550	10000	10000	10000	10000	10000	-450	10000	10000	10000	10000	-679	2149	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1081	10000	10000	1376	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	691	-854	1303	10000	10000	
10000	10000	10000	10000	10000	1840	10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	-424	10000	10000	10000	1497	10000	-1033	10000	10000	10000	10000	10000	2067	10000	10000	81	10000	10000	866	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	48	982	10000	10000	10000	10000	-588	10000	10000	10000	-359	970	10000	10000	10000	1233	1789	10000	10000	10000	10000	1224	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-1046	10000	575	10000	10000	10000	10000	10000	10000	10000	10000	
10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	10000	1507	10000	10000	10000	10000	10000	-71	10000	10000	10000	10000	10000	-428	10000	10000	10000	764	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	-85	10000	10000	10000	1498	10000	10000	10000	10000	10000	10000	-858	10000	10000	126	1407	504	10000	10000	10000	10000	10000	10000	10000	1044	10000	10000	10000	-1363	10000	10000	10000	10000	-137	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	
10000	10000	10000	10000	10000	10000	10000	-261	10000	10000	10000	10000	10000	0	10000	10000	10000	10000	10000	10000	2550	10000	-105	10000	10000	1811	986	10000	10000	10000	10000	-500	10000	829	10000	1518	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	1457	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	10000	407	10000	10000	-72	10000	10000	10000	10000	10000	10000	10000	10000	10000	1143	10000	10000	10000	-735	10000	10000	10000	10000	419	10000	10000	-564	10000	10000	10000	10000	10000	10000	10000	10000	10000	
